Doctor ID,First Name,Last Name,Gender,Hospital Affiliation,Specialization,Qualifications,State License Number,Contact Information,Availability,Permissions,Department,Biography,Ratings
38c1962e-9148-424f-aac1-c14f30e9c5cc,Eileen,Jones,Other,Queen Elizabeth Hospital,General Surgery,"BSc, MRCP",31067690,dbrown@hotmail.com,Yes,Read-Only,Cardiology,"Distinctio quasi vero excepturi commodi deserunt reiciendis. Aperiam nobis unde consequuntur et.
Dolorem saepe illum culpa porro odio deserunt. Placeat illo earum vel dolorem veniam.",1.503621211
247a8333-f7b0-47d2-8da8-056c3d15eef7,Barry,Matthews,Other,Manchester Royal Infirmary,General Surgery,"FRCS, MRCP",50074327,williamspaula@walters-newton.com,No,Admin,Orthopedics,Magni laborum nemo dolor consectetur ipsa totam perspiciatis. Minima iure eum id eligendi. Porro suscipit numquam. Animi explicabo atque error temporibus eaque.,2.890439485
1759edc3-72ae-4244-8b01-63c1cd9d2b7d,Stephanie,Savage,Female,St Mary's Hospital,General Surgery,"MBBS, FRCS",16804120,honeill@evans-hudson.org,Yes,Read-Write,Surgery,Officia error placeat incidunt perspiciatis aspernatur. Dicta harum debitis quibusdam sit. Vitae non impedit.,2.775724843
e005b860-51ef-4922-be43-c49e149818d1,Graham,Williams,Other,Royal London Hospital,Orthopedics,"MRCP, MD",4689415,jonathan88@gmail.com,No,Read-Only,Cardiology,"Ipsa consectetur facere atque. Praesentium maiores natus doloremque.
Voluptatum praesentium dolorum velit earum ea incidunt. Quis magnam suscipit ad. Omnis illum adipisci dicta vitae.",1.863031593
7d41e602-eece-428b-bf7b-118e820865d6,Samantha,Barber,Other,Queen Elizabeth Hospital,Pediatrics,"PhD, MBBS, MSc",79545308,edwardsdanielle@gmail.com,Yes,Read-Write,Neurology,Ipsa distinctio molestias sint. Quo adipisci placeat impedit. Vero ab animi. Officiis iusto doloribus aspernatur in.,1.225398631
4a84eb03-8d1f-49b7-8d2b-9deb1beb3711,Dylan,Jones,Female,Royal London Hospital,Psychiatry,"MSc, MD, MBBS",37806508,lindawilliams@brown.biz,No,Read-Write,Surgery,Soluta laborum ex repellendus enim. At mollitia iure deleniti error.,4.17898887
552f233a-8c25-466a-9ff3-9849b4e1357d,Mohamed,Matthews,Other,Queen Elizabeth Hospital,Psychiatry,"MBBS, FRCS, MD",31830852,vnorris@yahoo.com,No,Read-Write,Cardiology,Placeat voluptatibus a deleniti vero aut nemo. Omnis maxime consequatur necessitatibus. Eum eveniet fuga occaecati non eius non enim. Temporibus provident minus commodi ex.,4.119683969
3405095c-8a50-46c1-ac18-8efbd080e66e,Ashleigh,West,Other,Queen Elizabeth Hospital,Psychiatry,"FRCS, MD, MSc",39787627,quinngillian@hotmail.com,No,Read-Write,Psychiatry,Esse commodi occaecati doloribus deserunt. Id nihil nam illo voluptas.,4.390645549
8c1745a7-9a6a-4f92-8ca7-4147f6be1f72,Kayleigh,Bell,Female,Royal London Hospital,Orthopedics,MSc,42054543,traceyholt@yahoo.com,Yes,Admin,Cardiology,"Quos ducimus ex iusto adipisci illum. Fuga omnis ratione porro numquam odit.
Sit cum eligendi sunt repellat velit. Maiores excepturi dolorum totam fugit consequuntur minima.",1.274404725
1775336d-71ea-4d05-89a3-e80e966e1277,Marian,Byrne,Female,Royal London Hospital,General Surgery,"MD, MRCP",60012959,woodbarbara@james.com,Yes,Read-Only,Orthopedics,Officiis doloremque excepturi sequi veritatis. Error cumque illo consectetur asperiores voluptas tempore doloribus.,4.496543514
5129fb7c-6288-41a5-8c45-782198a6416d,Roy,Bell,Male,Queen Elizabeth Hospital,Pediatrics,"MBBS, MD",20082921,ssmith@evans.biz,Yes,Admin,Surgery,Cumque a enim occaecati. Ad placeat sit dolores.,1.314304697
2f120554-4a53-48cc-bdfa-bc08935ddd72,Benjamin,Lawrence,Male,Royal Liverpool University Hospital,Orthopedics,"FRCS, BSc, MBBS",22826605,hparker@yahoo.co.uk,Yes,Read-Only,Pediatrics,Vel distinctio totam eum rem distinctio quidem. Dolorem id porro voluptatibus praesentium facilis minima.,1.94306327
0870e15c-2fcd-41b5-924b-ace4307bf326,Declan,Perkins,Other,King's College Hospital,Cardiology,"MRCP, FRCS",45903905,michelle22@holmes.co.uk,No,Admin,Surgery,"Ipsum rem quia harum totam nobis. Dicta in dolorem. Nulla sed assumenda animi pariatur perferendis consequatur.
Eos sequi harum harum ut. Sequi in quaerat fugiat architecto voluptatum.",4.1048311
42930b33-a81a-4477-bb36-75b89cdeb3e6,Ashley,Morgan,Female,Manchester Royal Infirmary,General Surgery,PhD,55195516,morganjosh@oliver.com,No,Read-Write,Orthopedics,Incidunt sequi laudantium. Nihil ad doloremque reprehenderit velit quod.,1.931886837
adc0da7a-16fe-4aa0-91af-923d79fdef7c,Guy,Atkinson,Male,Queen Elizabeth Hospital,Cardiology,"MSc, PhD, FRCS",35942382,payneowen@bell-barrett.com,Yes,Read-Only,Cardiology,"Voluptatibus excepturi velit dicta debitis asperiores laudantium. Nemo voluptatum libero facilis sequi.
Nemo debitis a ab laudantium modi architecto. Eius impedit ab.",3.129142846
2648ee38-e074-45eb-a156-63abc1f254b8,Sylvia,Atkins,Other,St Mary's Hospital,Psychiatry,MBBS,92815998,callum29@richardson-martin.com,Yes,Admin,Cardiology,Tempora numquam ipsum enim. Possimus quia sit officiis odio. Suscipit quod quis suscipit blanditiis non.,3.972560835
148b2758-d7ab-4928-89e4-69e6ec62b2c8,Henry,French,Male,St Mary's Hospital,Neurology,MD,91925474,martin91@yahoo.co.uk,Yes,Read-Only,Cardiology,Quisquam nobis porro corporis nesciunt perferendis. Architecto tenetur quaerat blanditiis asperiores totam earum. Alias odit eius laudantium dolorem.,2.280517254
d450fe4a-ec4f-417b-b306-d1a8e5eeac76,Danielle,Rogers,Female,Queen Elizabeth Hospital,Cardiology,MBBS,72665152,lwheeler@outlook.com,Yes,Read-Only,Psychiatry,"Molestiae nisi natus harum dolor non ducimus. Tenetur accusantium corporis consequatur.
Quidem accusamus dolorem ipsum. Suscipit quasi ut occaecati.",1.552645097
d67e55fd-642b-4a42-aef9-c00b8a64c1b9,Hayley,Summers,Female,Queen Elizabeth Hospital,Neurology,"MSc, PhD",42571554,foxmarion@hotmail.com,Yes,Read-Write,Orthopedics,"Ipsa atque ipsam laborum non veniam unde. Saepe molestiae officia quod temporibus velit architecto.
Molestiae expedita quaerat debitis sit nulla. Repellendus temporibus minima repellat.",4.114302746
85940927-468f-453d-864a-7a50b48d73f1,Tina,Grant,Male,King's College Hospital,Pediatrics,"BSc, MD, MBBS",52633297,andreafrost@hill.com,Yes,Admin,Pediatrics,"Consequuntur vero maxime ad. Culpa sed ab adipisci accusantium.
Magnam nemo sunt explicabo placeat tempora officia. Numquam cum iste repellendus. Eligendi labore suscipit mollitia.",2.228136491
37176e84-d977-4993-bc49-d76fcfc6e625,Mohamed,Clements,Other,St Mary's Hospital,Cardiology,"MRCP, MD",96930520,iparsons@bradley.com,Yes,Admin,Neurology,Aut ullam sequi ducimus quae. Voluptatem quia voluptatem laudantium quisquam vel explicabo.,1.308164004
d3447490-96fd-45d0-adf2-0806e5214606,Mathew,Ward,Other,Royal Liverpool University Hospital,Cardiology,"BSc, MRCP, FRCS",76910649,woodtina@ahmed.com,Yes,Read-Only,Orthopedics,"Magni quasi inventore doloremque quam fugiat. Magni ipsam itaque numquam. Voluptatem nobis at.
Modi quod atque mollitia. Nemo occaecati eum.",3.266451399
46743741-9466-4472-ab5f-5241f323ca74,Leah,Douglas,Female,King's College Hospital,Orthopedics,"MBBS, MRCP, PhD",36093697,alexandra15@yahoo.co.uk,Yes,Read-Write,Pediatrics,Magni labore commodi quae neque quasi aut. Repellat incidunt ratione ipsa nostrum. Ex provident aspernatur minus consectetur.,2.636908069
a425799a-a905-4750-be1e-a9c573581a81,Martin,Hayward,Female,King's College Hospital,Cardiology,"BSc, MBBS",79666042,lauraharrison@davis.com,No,Read-Only,Neurology,"Eos eligendi soluta dolorum quis.
Quis laborum quo ab nobis temporibus eius. Facilis voluptates culpa libero suscipit laborum veniam. Inventore delectus quas unde.",3.683644506
fb82860d-eabc-48d0-b341-facdff0ac0f1,Clare,Kemp,Female,Queen Elizabeth Hospital,Pediatrics,"PhD, MBBS, MSc",25189729,jodiesmith@yahoo.com,Yes,Read-Only,Psychiatry,Ex dolores numquam esse quas nulla. Ab consectetur temporibus facere qui. Culpa voluptates quas totam delectus recusandae.,4.199180367
5306f3f5-1516-4570-9b7c-709acb175a5a,Sam,Richardson,Female,Royal London Hospital,Pediatrics,"MRCP, FRCS, PhD",63240757,bennettdanielle@yahoo.com,Yes,Admin,Cardiology,Porro fugit aliquid natus eveniet accusantium. Voluptatem distinctio eaque incidunt nesciunt sed. Voluptatem maiores facilis molestiae voluptate.,3.274018766
964a870c-7c87-4b74-9d87-8f9f9cdf5a86,Raymond,Scott,Female,Royal Liverpool University Hospital,Orthopedics,"MD, FRCS",58349072,ataylor@outlook.com,Yes,Read-Only,Cardiology,Fugiat molestias cum provident voluptatum delectus. Maiores hic libero consequuntur. Repellat officia aliquid animi sed totam quidem.,1.761439994
30bcab0e-d857-4102-95d4-4936a1515607,Sally,Wilson,Male,Manchester Royal Infirmary,Psychiatry,MRCP,43504963,wheeleredward@hotmail.co.uk,No,Read-Only,Cardiology,Quibusdam unde dignissimos voluptatum asperiores. Quisquam mollitia exercitationem voluptatum. Expedita quia quibusdam. Vitae dolore harum asperiores.,1.708723677
4562be7f-bb42-40b2-8426-465e3e37952d,Garry,Jennings,Female,Royal Liverpool University Hospital,Pediatrics,MSc,3962498,pearceelizabeth@hotmail.co.uk,Yes,Read-Only,Neurology,"Vero magnam facere perspiciatis. Dicta veniam hic voluptas nostrum veniam.
Quidem atque tenetur quisquam. Placeat ullam provident asperiores. Iure harum ducimus.",3.968240996
5f3f5638-3870-4a14-b490-b6081dfc8352,Yvonne,Cook,Female,Royal London Hospital,Orthopedics,"MD, PhD",32697579,hannahowen@walker.com,No,Read-Only,Surgery,Vitae numquam est ducimus inventore rem quidem. Labore quam pariatur non qui. Repellendus nesciunt saepe.,4.195924806
6d16ee18-5521-46dd-aba4-b180cb69ca38,Carol,Akhtar,Female,King's College Hospital,Psychiatry,MBBS,20966542,ross09@harris.com,Yes,Read-Only,Neurology,"Iste excepturi atque iure nemo. Laudantium fugiat odio cupiditate adipisci aspernatur quasi.
Officia corporis tenetur harum. Vel ex placeat blanditiis.",4.570108395
c87a7463-19c1-4a0d-8feb-d845d0dfae43,Tina,Ball,Other,King's College Hospital,Orthopedics,"MBBS, MRCP, MSc",47469373,reedgeorge@hotmail.co.uk,Yes,Read-Write,Cardiology,Ratione aspernatur amet doloremque ab voluptatibus. Blanditiis ex provident et et quisquam.,2.891116636
38018b47-b29a-4b06-9af6-6c5f2577bffa,Lucy,Shaw,Female,Queen Elizabeth Hospital,Neurology,"MRCP, PhD, MSc",27706384,sgreen@price.co.uk,Yes,Read-Write,Surgery,Consequuntur vero minima. Minus vero temporibus saepe itaque nam voluptatibus perspiciatis.,2.986145748
a25b59fd-92e8-4269-912e-cbc40b9475b1,Emily,Russell,Female,Manchester Royal Infirmary,Cardiology,MSc,61442234,osullivanlisa@hotmail.co.uk,Yes,Read-Only,Orthopedics,Excepturi sit accusantium voluptate. Dolores sed atque illum reiciendis sequi aperiam.,1.493322861
9a27d858-88c1-42ad-afbf-c19ee8f6cf32,Vanessa,Williamson,Other,Royal London Hospital,Cardiology,"BSc, PhD, MBBS",22539920,schapman@yahoo.com,No,Read-Write,Pediatrics,Expedita laboriosam unde nostrum quod quia nisi laudantium. Minus dolores repellendus consequuntur ullam exercitationem nisi.,3.205247677
1fdb8b32-06d5-49e8-92f1-75ffae3b16ec,Sam,Butler,Female,King's College Hospital,Orthopedics,"BSc, MD, PhD",12494420,mitchell86@ross-cooper.biz,Yes,Read-Only,Neurology,Velit officiis sunt in nobis. Labore possimus suscipit facilis quos officiis commodi quae. Optio cum sequi molestias quos nesciunt.,2.623364271
d480865f-9b38-4e80-b042-e325a28f5ab0,Tina,Wilson,Female,St Mary's Hospital,Psychiatry,"MSc, FRCS",49516459,pauline30@hotmail.co.uk,Yes,Admin,Cardiology,Vel laboriosam velit sint dolorum. Impedit molestias officiis itaque. At asperiores facere sunt magnam delectus illo iure.,1.4650452
176ea1b1-6426-4cd5-9ea4-5cd69371a71f,Samantha,Scott,Other,Royal Liverpool University Hospital,Psychiatry,"FRCS, MSc, PhD",88418800,nbaker@outlook.com,Yes,Read-Write,Psychiatry,"Odio ratione incidunt. Mollitia praesentium reiciendis a natus eveniet. Dolorum voluptatum mollitia.
Rem dicta in praesentium adipisci iure numquam. Officia impedit officiis suscipit deleniti.",1.651798235
1db53334-fb03-43a1-9576-d4155ec17dbe,Malcolm,Potts,Other,St Mary's Hospital,General Surgery,"MSc, MRCP",56975931,webstercarol@yahoo.co.uk,Yes,Admin,Pediatrics,Eaque incidunt labore et quod facilis. Fugiat provident tenetur hic excepturi. Cupiditate assumenda sit corrupti odit ex nisi.,2.862497736
31d0b664-0589-4877-9b02-52440950fd13,Joyce,Reynolds,Male,Manchester Royal Infirmary,Cardiology,"MRCP, MSc, FRCS",66194852,oprice@king.net,Yes,Read-Write,Orthopedics,Tenetur aliquam esse dolor alias molestiae dicta eius. Ducimus recusandae numquam voluptates quasi nulla ullam. Asperiores illo suscipit quia quia nostrum.,3.556788026
b7d6467b-2f5a-422a-b87f-43fdf6062541,Sylvia,Walker,Other,St Mary's Hospital,Cardiology,"BSc, MD, FRCS",265055,wendyharris@gough.net,No,Admin,Pediatrics,Hic nemo cupiditate ratione quo vitae. Unde maxime quibusdam laudantium quae doloribus consequuntur amet.,1.679673745
ba26d851-35e8-479a-baaf-0e891fb797fa,Nathan,Davies,Female,Royal Liverpool University Hospital,Psychiatry,"MBBS, BSc, MD",89968119,robin87@owen.com,Yes,Read-Only,Psychiatry,"Iusto esse veritatis quos. Neque a recusandae dolor laborum.
Ratione aliquid corporis optio dignissimos. Unde suscipit laudantium velit eveniet recusandae. Eos iure veritatis quae ab.",1.438390823
ade9b2b4-efdd-45f8-8fa3-4266ccfdba9b,Fiona,Davies,Other,St Mary's Hospital,Pediatrics,MBBS,83358620,gerard61@yahoo.co.uk,Yes,Admin,Orthopedics,"Soluta sed animi vel. Eos quaerat dicta iste adipisci adipisci.
Veniam error beatae porro. Cumque nobis placeat mollitia aspernatur nisi. Autem suscipit veniam temporibus architecto illo explicabo.",2.192826271
9edfa3da-6cf5-4b15-8b53-031d05d51433,Nathan,Gardner,Male,Queen Elizabeth Hospital,Pediatrics,FRCS,10536916,kpoole@hotmail.co.uk,Yes,Read-Write,Pediatrics,"Consequatur ipsum minus nostrum magni ipsa quibusdam. Sed nobis impedit iusto laborum.
Mollitia itaque praesentium debitis impedit voluptates asperiores.",3.252600392
11ebcd49-428a-4c22-95fd-b76a19fbeb1d,Christian,Frost,Female,St Mary's Hospital,Neurology,FRCS,35112432,hjohn@thomas-marshall.co.uk,Yes,Admin,Cardiology,Sapiente minus autem blanditiis voluptatum aliquam. Error ea vitae ut possimus similique facere.,3.545552101
4d125e7f-a59c-4c98-926c-bc8f38884479,Hayley,Kemp,Male,King's College Hospital,General Surgery,"MBBS, BSc",36633084,wilsonwayne@howell-jones.com,Yes,Admin,Neurology,"Exercitationem inventore reiciendis voluptatem eveniet. Accusamus natus eligendi nesciunt laborum aliquam. Perspiciatis ullam nihil.
Voluptas amet animi odit. Tempora tempore qui cumque ea ut.",2.000706606
0fa07a3f-2e29-4065-afa2-31e959acdd98,Billy,Hill,Female,King's College Hospital,General Surgery,"FRCS, MD",63819554,sthompson@brown.biz,Yes,Read-Write,Neurology,"Consequatur alias vitae nemo libero.
Quas amet ea eos aspernatur. Nihil et similique.
Molestias temporibus dolor atque pariatur. Aut placeat quam dolorem eos pariatur.",3.73560229
98b33c6e-0a14-490a-b795-e98680ee526e,Joyce,Walsh,Male,King's College Hospital,Neurology,"MSc, PhD, MRCP",83793909,bradleycharlotte@moore-chamberlain.com,Yes,Admin,Cardiology,"Libero quibusdam nisi libero est. Atque est quia magnam nobis debitis amet.
Sapiente tempora labore laboriosam accusamus odio fugit facilis. Quam sapiente quam.
Nobis repudiandae sit officia.",4.99984259
642aad48-fcfc-4a81-b306-d70019d5f970,Oliver,Fraser,Female,Manchester Royal Infirmary,Psychiatry,"MD, MSc",14610155,rmckenzie@yahoo.com,Yes,Admin,Orthopedics,Ullam modi illum harum eius aut corrupti. Impedit reiciendis doloribus quod necessitatibus eligendi tenetur.,3.359506249
e786ab37-5bca-47be-8298-17c53308fb2e,Lydia,Wheeler,Female,Royal Liverpool University Hospital,Psychiatry,"FRCS, MRCP, MBBS",19413491,clifford95@yahoo.com,Yes,Read-Write,Neurology,Eius itaque at cumque voluptatibus libero. Quidem eius itaque atque dolores incidunt. Aspernatur animi rem facilis sint amet vel non.,4.051431606
e6fd68e8-d69c-41c2-b860-1602bb4a06cb,Diane,Benson,Female,Royal Liverpool University Hospital,Neurology,"MSc, BSc",16725323,goddardconor@howells.biz,Yes,Read-Only,Psychiatry,Reprehenderit numquam in sequi distinctio. Libero eaque doloremque vitae officia dolorem. Autem voluptas ea sint odit dolor laboriosam.,4.500854971
b29c467d-2b5f-4932-91dc-59efeb21a3f6,Marcus,Jones,Other,King's College Hospital,Orthopedics,"FRCS, MSc",20907788,jennaroberts@donnelly.com,Yes,Read-Write,Pediatrics,Suscipit aperiam repellat maxime repellat. Veniam voluptate animi quod molestiae dolor. Assumenda maiores ullam architecto odit explicabo distinctio mollitia.,2.2131934
c470f0e7-f76f-4fb8-b412-fc12ac322c12,Martyn,Hunter,Female,St Mary's Hospital,General Surgery,PhD,36339152,gavin82@mellor.co.uk,Yes,Read-Write,Neurology,Reprehenderit iste voluptatum quaerat. Consequatur veniam numquam nobis nostrum occaecati mollitia. Quidem qui explicabo excepturi sequi. Labore id repudiandae dolorem optio.,3.094218624
28805c5d-ad1b-4f60-89e4-dab20edc6d2b,Jamie,Hunter,Female,Manchester Royal Infirmary,Neurology,"MRCP, MSc",41773747,qsingh@williams.info,Yes,Read-Only,Neurology,Alias ea quos quis cumque nesciunt. Occaecati corrupti quos. Cumque inventore provident voluptatum odio tempore. Excepturi eos ea ratione.,4.473920962
878b9f6b-57a1-4b71-a975-d279d86dbf11,Heather,Rogers,Other,Royal London Hospital,Pediatrics,"BSc, PhD, FRCS",37293965,brookesmarian@gmail.com,Yes,Read-Only,Pediatrics,"Blanditiis deleniti eius odit aperiam. Corporis amet quod accusamus.
Esse expedita voluptatibus asperiores ipsa commodi. Nisi dolores nemo ea ab perspiciatis.",4.396905642
ebe21368-98c7-4205-9e01-a934402d0baf,Susan,Dickinson,Male,Royal Liverpool University Hospital,Orthopedics,"MSc, MBBS, FRCS",64622987,kingconnor@hotmail.co.uk,Yes,Read-Write,Pediatrics,"Laboriosam odit nam eligendi.
Minus enim reiciendis sapiente nobis dolores. Quaerat vel voluptatibus doloremque iusto quisquam incidunt. Eveniet sequi provident consequatur odit.",2.349758887
0361524c-2cc0-4859-aa65-24ab713b7e05,Natasha,Grant,Female,Royal Liverpool University Hospital,Neurology,MD,13959404,shawgary@mills-whittaker.com,No,Read-Only,Neurology,Itaque accusantium numquam placeat. Facere neque commodi eius nulla necessitatibus praesentium expedita.,1.474261396
e66cd36e-68ef-4f5f-ae68-690a78bc7175,Paula,Phillips,Female,King's College Hospital,Cardiology,"MD, FRCS",73634950,angela95@gmail.com,Yes,Read-Write,Neurology,"Nobis maxime numquam temporibus quis.
Unde quis soluta officiis dolorum. Similique odio ullam in nesciunt. Voluptatibus neque cum distinctio tempora blanditiis.",4.326682574
